NICCode,Description
27509,Manufacture of other domestic appliances n.e.c.
27504,"Manufacture of domestic non-electric cooking and heating equipment such as non-electric space heaters, cooking ranges, grates, stoves, water heaters, cooking appliances, plate warmers"
27503,Manufacture of electric fans (except exhaust fans)
27502,"Manufacture of domestic electrothermic appliances such as electric water heaters, space heaters, irons, ovens, toasters, microwave ovens etc"
27501,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners, mixers, grinders etc."
27500,Manufacture of domestic appliances
27400,Manufacture of electric lighting equipment
27339,Manufacture of other wiring devices and fittings n.e.c.
27331,"Manufacture of switch, switch box, lamp holders, lugs etc."
27330,Manufacture of wiring devices
27320,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)"
27310,Manufacture of fibre optic cables for data transmission or live transmission of images
27202,"Manufacture of electric accumulator incuding parts thereof (separators, containers, covers)"
27201,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material"
27200,Manufacture of batteries and accumulators
27104,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits
27103,Manufacture of electric motors (except internal combustion engine starting motors)
27102,"Manufacture  of  electric  power  distribution  transformers,  arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators"
27101,"Manufacture of power generators (except battery charging alternators for internal combustion engines), motor generator sets (except turbine generator"
27100,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
26800,Manufacture of magnetic and optical media
26700,Manufacture of optical instruments and equipment
26600,"Manufacture   of   irradiation,   electromedical   and   electrotherapeutic  equipment"
26529,Manufacture of other watches and clocks n.e.c.
26523,"Manufacture of time-recording equipments such as time-clock, parking meters etc."
26522,"Manufacture of components for clocks and watches (springs, jewels, dials, hands, plates, bridges and other parts); watch and clock cases, including cases of precious metals"
26521,"Manufacture of watches and clocks, including instrument panel clocks"
26520,Manufacture of watches and clocks
26519,Manufacture of other measuring n.e.c.
26517,Manufacture of industrial process control equipment
26516,"Manufacture  of  laboratory  analytical  instruments  and  miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc."
26515,"Manufacture of radar equipment, GPS devices, search, detection, navigation, aeronautical and nautical equipment"
26514,Manufacture of meteorological instruments
26513,"Manufacture of consumption meters for electricity, water or gas, flow metersand counting meters"
26512,Manufacture of automotive emissions testing equipment
26511,Manufacture of physical properties testing and inspection equipment
26510,"Manufacture of measuring, testing, navigating and control equipment"
26409,Manufacture of other electronic consumer goods n.e.c. (this includes non-
26406,Manufacture of CD and DVD players
26405,"Manufacture of stereo equipment, speaker systems, amplifiers for musical instruments and public address systems, microphones, karaoke machines, headphones (e.g. radio, stereo, computer)"
26404,Manufacture of radio receivers
26403,Manufacture of audio recording and duplicating systems
26402,Manufacture video cassette recorders and duplicating equipment
26401,"Manufacture of televisions, television monitors and displays"
26400,Manufacture of consumer electronics
26309,Manufacture of other communication equipments n.e.c.
26305,"Manufacture of pagers, cellular phones and other mobile communication equipment"
26304,"Manufacture of cable television equipment, transmitting and receiving antenna including dish, VSAT"
26303,"Manufacture of data communications equipment, such as bridges, routers, and gateways"
26302,"Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX"
26301,"Manufacture of radio and television studio and broadcasting equipment, including television cameras"
26300,Manufacture of communication equipment
26209,Manufacture of computers and peripheral equipment n.e.c.
26205,"Manufacture of computer terminals, like automatic teller machines (ATM’s), point-of-sale (POS) terminals not mechanically operated"
26204,"Manufacture of printers, scanners, including bar code scanners, smart card readers, virtual reality helmets, computer projectors (video beamers)"
26203,"Manufacture of monitors, keyboards, all types of mice, joysticks, and trackball accessories, dedicated computer terminals etc."
26202,"Manufacture of magnetic and optical storage devices such as magnetic disk drives, flash drives, CD, DVD and other storage devices"
26201,"Manufacture of desktop computers, laptop computers, hand-held computers (e.g. PDA), mainframe computers and computer servers"
26200,Manufacture of computers and peripheral equipment
26109,Manufacture of other electronic components n.e.c
26107,Manufacture of microprocessors
26106,"Manufacture of printer cables, monitor cables, USB cables, connectors etc."
26105,"Manufacture of display components (plasma, polymer, LCD, LED)"
26104,"Manufacture of bare printed circuit boards, loading of components ontoprinted circuit boards; manufacture of interface cards (e.g. sound, video, controllers, network, modems)"
26103,"Manufacture of integrated circuits (analog, digital or hybrid)"
26102,"Manufacture of electron tubes, diodes, transistors and related discrete devices"
26101,"Manufacture of electronic capacitors, resistors, chokes, coils, trasformers"
26100,Manufacture of electronic components
25999,Manufacture of other fabricated metal products n.e.c.
25996,"Manufacture of reinforced safes, vaults, strongroom doors, gates and metal goods for office use (other than office furniture) and other purposes"
25995,"Manufacture of metal sanitaryware such as baths, sinks, washbasins and"
25994,"Manufacture of metal household articles (plates, saucers, pots, kettles, saucepans, frying pans and other non-electrical utensils, small hand-operated kitchen appliances and accessories)"
25993,Manufacture of metal cable and other articles made of wire (except for electric transmission)
25992,Manufacture of containers such as tins and cans for food products and boxes
25991,"Manufacture of metal fasteners (nails, rivets, tacks, pins, staples, washers and similar non-threaded products and nuts, bolts, screws and other threaded"
25990,Manufacture of other fabricated metal products n.e.c.
25939,"Manufacture of general hardware (saws and sawblades, including circular sawblades and chainsaw blades, moulding boxes, vices, clamps etc.)"
25934,"Manufacture of padlocks, locks, keys, hinges and the like, hardware for buildings, furniture, vehicles etc."
25933,"Manufacture  of  hand  tools  such  as  pliers,  screwdrivers,  press  tools, blacksmiths’ tools, drills, punches, milling cutters etc."
25932,Manufacture of hand tools (non-power-driven) for agricultural/horticulture/forestry
25931,"Manufacture of cutlery such as knives, forks, spoons, cleavers, choppers, razors, razor blades, scissors, hair clippers etc."
25930,"Manufacture of cutlery, hand tools and general hardware"
25920,Machining; treatment and coating of metals
25910,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
25200,Manufacture of weapons and ammunition
25139,"Manufacture of other steam generators (except central heating hot water boilers), n.e.c."
25133,"Manufacture of auxiliary plant for use with steam generators (condensers, economizers, superheaters, steam collectors and accumulators)"
25132,"Manufacture of nuclear reactors, except isotope separators"
25131,Manufacture of steam or other vapour generating boilers and hot water boilers other than central heating boilers
25130,"Manufacture of steam generators, except central heating hot water boilers"
25129,Manufacture of other containers n.e.c.
25123,Manufacture of central heating boilers and radiators and parts and accessories
25122,"Manufacture of metal reservoirs, tanks and similar containers"
25121,Manufacture of metal containers for compressed or liquefied gas
25120,"Manufacture of tanks, reservoirs and containers of metal"
25119,Manufacture of other structural metal products
25113,"Manufacture of industrial frameworks in metal furnaces, lifting and handling equipment etc.)"
25112,"Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.)"
25111,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles used on buildings"
25110,Manufacture of structural metal products
24320,Casting of non-ferrous metals
24319,Manufacture of other iron and steel casting and products thereof
24311,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel"
24310,Casting of iron and steel
24209,Manufacture of other non-ferrous metals n.e.c.
24205,"Production and refining of precious metals (such as gold, silver platinum etc.) and alloys"
24204,"Manufacturing of chrome, manganese and nickel products alloys"
24203,"Manufacturing of lead, zinc and tin products and alloys"
24202,Manufacture of Aluminium from alumina and by other methods and products of aluminium and alloys
24201,"Manufacture of Copper from ore, and other copper products and alloys"
24200,Manufacture of basic precious and other non-ferrous metals
24109,Manufacture of other basic iron and steel n.e.c
24108,Manufacture of wire of steel by cold drawing or stretching
24107,Manufacture of railway track materials (unassembled rails) of steel
24106,Manufacture of tube and tube fittings of basic iron and steel
24105,Manufacture of hot-rolled and cold-rolled products of steel
24104,Manufacture of ferro-alloys
24103,"Manufacture of steel in ingots or other primary forms, and other semi-finished products of steel"
24102,Manufacture of direct reduction of iron (sponge iron) and other spongy ferrous products
24101,"Manufacture of pig iron and spiegeleisen in pigs, blocks or other primary forms"
24100,Manufacture of basic iron and steel
23999,Manufacture of other non-metallic mineral products n.e.c. (includes asbestos
23994,Manufacture of graphite products other than electrical articles
23993,"Manufacture of millstones, sharpening or polishing stones and natural or artificial abrasive products, including abrasive powder or grain on a base of textile material, paper, paper board or other material"
23992,Manufacture of gypsum boards
23991,Manufacture of worked mica and mica products
23990,Manufacture of other non-metallic mineral products n.e.c.
23960,"Cutting, shaping and finishing of stone"
23959,Manufacture of other cement and asbestos cement products n.e.c.
23956,"Manufacture of insulation boards of vegetable fibre, straw or wood waste, agglomerated with cement & other mineral binders."
23955,Manufacture of hume pipes and other pre-fabricated structural components of cement and/or concrete for building or civil engineering
23954,Manufacture of R.C.C. bricks and blocks
23953,Manufacture of asbestos sheets
23952,"Manufacture of articles articles of concrete, cement or artificial stone (tiles, bricks etc.)"
23951,Manufacture of plaster statues and other plaster products
23950,"Manufacture of articles of concrete, cement and plaster"
23949,Manufacture of other cement and plaster n.e.c.
23945,Manufacture of plasters of calcined gypsum or calcined sulphate
23944,"Manufacture of quicklime, slaked lime and hydraulic lime"
23943,Manufacture of asbestos cement
23942,"Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement"
23941,Manufacture of clinkers and cement
23940,"Manufacture of cement, lime and plaster"
23939,Manufacture of ceramic products n.e.c.
23935,"Manufacture of ceramic laboratory, chemical and industrial products"
23934,Manufacture of electrical insulators and insulating fittings of ceramics
23933,Manufacture of statuettes and other ornamental ceramic articles
23932,Manufacture of ceramic tableware and other domestic or toilet articles
23931,"Manufacture of articles of porcelain or china, earthenware, imitation porcelain or common pottery, including earthen statues"
23930,Manufacture of other porcelain and ceramic products
23929,Manufacture of other clay building materials
23923,"Manufacture of non-refractory ceramic pipes, conduits, guttering and pipe fittings"
23922,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water-closet pans, flushing cistern etc."
23921,Manufacture of bricks
23920,Manufacture of clay building materials
23919,Manufacture of other refractory articles n.e.c.
23913,Manufacture of refractory ceramic products
23912,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods"
23911,"Manufacture of refractory mortars, concretes etc."
23910,Manufacture of refractory products
23109,"Manufacture of other glassware/glass products: articles of glass used in construction such as glass blocks; clock or watch glasses, optical glass and optical glass elements not optically worked; and other glass products"
23107,Manufacture of glass decoration pieces and glassware used in imitation jewellery
23106,Manufacture of glass bangles
23105,Manufacture of table or kitchen glassware
23104,Manufacture of laboratory or pharmaceutical glassware
23103,"Manufacture of hollow glassware (bottles, jars etc.) for the conveyance or packing of goods"
23102,"Manufacture of glass fibre (including glass-wool) and yarn of glass fibre; nonwoven glass fabrics, mats, boards and similar non-woven products"
23101,"Manufacture of glass in primary or semi-manufactured forms (such as sheets & plate glass) including mirror sheets and wired, coloured, tinted, toughened or laminated glass"
23100,Manufacture of glass and glass products
22209,Manufacture of other plastics products n.e.c.
22208,Manufacture of polymer/ synthetic / PVC water storage tanks
22207,Manufacture  of  moulded  industrial  accessories  of  plastics electrical insulating fittings of plastics]
22206,Manufacture of spectacle frames of plastic
22205,"Manufacture of travel goods of plastics (suitcase, vanity bags, holdalls and"
22204,"Manufacture of bathing tubs, wash-basins, lavatory pans and covers, flushing cisterns and similar sanitary-ware of plastics"
22203,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)"
22202,"Manufacture of tableware, kitchenware and other household articles and toilet articles of plastic, including manufacture of vacuum flasks and other vacuum vessels"
22201,"Manufacture of semi-finished of plastic products (plastic plates, sheets, blocks, film, foil, strip etc.)"
22200,Manufacture of plastics products
22199,Manufacture of other rubber products n.e.c.
22194,Manufacture of rubber balloons
22193,Manufacture of rubber contraceptives
22192,Manufacture of rubber conveyor or transmission belts or belting
22191,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc."
22190,Manufacture of other rubber products
22119,Manufacture of rubber tyres and tubes n.e.c.
22113,Retreading of tyres; replacing or rebuilding of tread on used pneumatic
22112,Manufacture of rubber tyres and tubes for cycles and cycle-rickshaws
22111,"Manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three-wheelers, tractors and aircraft"
22110,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
21009,Manufacture of other pharmaceutical and botanical products n.e.c. like hina
21006,"Manufacture of medical impregnated wadding, gauze, bandages, dressings, surgical gut string etc."
21005,Manufacture of veterinary preparations
21004,Manufacture of homoeopathic or biochemic pharmaceutical preparations
21003,Manufacture of `ayurvedic’ or `unani’ pharmaceutical preparation
21002,Manufacture of allopathic pharmaceutical preparations
21001,"Manufacture  of  medicinal  substances  used  in  the  manufacture  of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alkaloids; chemically pure suger etc."
21000,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
20304,Manufacture of synthetic or artificial mono-filament or strip
20302,Manufacture of synthetic or artificial filament staple fibre not textured
20301,Manufacture of synthetic or artificial filament tow
20300,Manufacture of man-made fibres
20299,"Manufacture   of   various   other   chemical   products   n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite  diagnostic  or  laboratory  reagents,  writing  or  drawing  ink, chemical substance used in manufacturing of pesticides and other chemical products)"
20297,"Manufacture of chemical products or preparations of a kind used in the textiles, paper, leather and like industries"
20296,Manufacture of chemical elements and compounds doped for use in electronics
20295,"Manufacture of gelatine and its derivatives, resinoids, glues, prepared adhesives, including rubber-based glues and adhesives"
20294,"Manufacture of photographic plates, films, sensitized paper and other sensitized  unexposed  materials,chemical  preparations  for  photographic uses"
20293,Manufacture of essential oils; modification by chemical processes of oils
20292,"Manufacture of explosives, ammunition and fire works"
20291,Manufacture of matches
20290,Manufacture of other chemical products n.e.c.
20239,Manufacture of other perfumes and toilet preparations n.e.c.
20238,Manufacture  of “agarbatti”  and  other  preparations  which  operate  by burning
20237,Manufacture of cosmetics and toileteries (includes manufacture of pre-
20236,"Manufacture of hair oil, shampoo, hair dye etc. (includes manufacture of"
20235,"Manufacture of preparations for oral or dental hygiene (includes manufacture of toothpastes, toothpowder, mouthwash, oral, perfumes, dental fixative pastes and powders etc.)"
20234,Manufacture of perfumes and cologne de-eau
20233,Manufacture of detergent and similar washing agents excluding soap
20232,Manufacture of cleaning and polishing products (preparations for perfuming
20231,Manufacture of soap all forms
20230,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
20229,"Manufacture of caulking compounds and similar non-refractory filling or surfacing preparations, mastics, prepared paint or varnish removers, organic composite solvents and thinners and other related products n.e.c."
20224, in the manufacture of paints or by artists or other paintersManufacture of prepared pigments and other colouring matter of a kind used
20223,Manufacture of printing ink
20222,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes engobes and similar preparations of a kind used in the ceramic, enamelling or glass industry"
20221,"Manufacture of paints and varnishes, enamels or lacquers"
20220,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
20219,Manufacture of other agrochemical products n.e.c.
20213,"Manufacture of anti-sprouting products, plant growth regulators"
20212,Manufacture of disinfectants (for agricultural and other use)
20211,"Manufacture of insecticides, rodenticides, fungicides, herbicides"
20210,Manufacture of pesticides and other agrochemical products
20203,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn"
20133,Manufacture of mixture of synthetic and natural or rubber like gums
20132,Manufacture of synthetic rubber in primary forms
20131,Manufacture   of   plastic   in   primary   forms polyurethanes etc.)
20130,Manufacture of plastics and synthetic rubber in primary forms
20129,Manufacture of other fertilizers n.e.c.
20123,"Manufacture of associated nitrogen products (nitric and sulphonitric acids, ammonia, ammonium chloride, ammonium carbonate, nitrites and nitrates of potassium)"
20122,"Manufacture of straight mixed, compound or complex inorganic fertilizers"
20121,Manufacture of urea and other organic fertilizers
20120,Manufacture of fertilizers and nitrogen compounds
20119,Manufacture of organic and inorganic chemical compounds n.e.c.
20118,Manufacture of synthetic aromatic products
20117,Manufacture of distilled water
20116,Manufacture of basic chemical elements
20115,Manufacture of turpentine and resins of vegetable origin
20114,Manufacture of dyes and pigments from any source in basic form or as concentrate
20113,Manufacture of tanning or dying extracts; tannings and their derivatives and colouring matter (including manufacture of indigo)
20112,Manufacture of inorganic acids except nitric acid
20111,"Manufacture of liquefied or compressed inorganic industrial or medical gases (elemental gases, liquid or compressed air, refrigerant gases, mixed industrial gases etc.)"
20110,Manufacture of basic chemicals
19209,"Manufacture of other petroleum n.e.c. (includes manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
19204,Manufacture of hard-coal and lignite fuel briquettes
19203,Bottling of LPG/CNG
19202,Manufacture of paraffin wax
19201,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products from crude petroleum or bituminous minerals"
19200,Manufacture of refined petroleum products
19109,"Manufacture of other coke oven products such as gas, crude coal and lignite tars etc."
19101,Production of coke and semi-coke products
19100,Manufacture of coke oven products
18200,Reproduction of recorded media
18129,Other service activities related to printing n.e.c.
18122,"Engraving, etching and block making etc."
18121,Book and other similar sheet binding on account of others
18120,Service activities related to printing
18119,Other printing activities like screen printing other than textile n.e.c.
18115,"Printing directly onto textiles, flexographic plastic, glass, metal, wood and ceramics"
18114,"Printing of bank notes, currency notes"
18113,"Printing of postage stams, taxation stamps, cheques and other security papers"
18112,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc."
18111,Printing of newspapers
18110,Printing
17099,Manufacture of other paper products n.e.c.
17097,Manufacture of carbon paper & stationary items
17096,Manufacture of wall paper
17095,"Manufacture of file cover/file boards, and similar articles."
17094,Manufacture of paper pulp articles other than containers (such as egg trays)
17093,"Manufacture of printing, writing and photocopying paper ready for use"
17092,"Manufacture of paper cups, saucers, plates, hoops, cones and other similar products"
17091,Manufacture of computer paper
17090,Manufacture of other articles of paper and paperboard
17029,Manufacture of other containers of paper and paperboard n.e.c.
17024,Manufacture of sacks and bags of paper
17023,Manufacture of card board boxes
17022,Manufacture of corrugated paper board containers
17021,Manufacture of corrugated paper and paperboard
17020,Manufacture of corrugated paper and paperboard and containers of paper and paperboard
17019,Manufacture of other primary paper materials including composite paper and paper board n.e.c.
17017,Manufacture of hard board including false board and chip board
17016,"Manufacture of paper board, straw board"
17015,Manufacture   of other   special   purpose   paper( stationary)
17014,Manufacture of packing paper
17013,Manufacture of paper and paper rolls not further processed
17012,Manufacture of news print
17011,Manufacture of pulp
17010,"Manufacture of pulp, paper and paperboard"
16299,Manufacture of other wood products n.e.c.
16297,Manufacture of products of pith and shalapith
16296,"Manufacture of articles made of palm leaf, dhak leaf, screw-pine leaf and khajoor leaf; articles of vegetables fibre etc,."
16295,Manufacture of broomsticks
16294,"Manufacture of various articles made of bamboo, cane and grass"
16293,Manufacture of wooden agricultural implements
16292,Manufacture of cork and cork products
16291,Manufacture of wooden industrial goods
16290,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
16239,"Manufacture of other wooden containers and products entirely or mainly of cane, rattan, bamboo, willow, fibre, leaves and grass n.e.c."
16233,"Manufacture of market basketry, grain storage bins and similar products made of bamboo or reed"
16232,Manufacture of plywood chests
16231,"Manufacture of wooden boxes, barrels, vats, tubs, packing cases etc."
16230,Manufacture of wooden containers
16229,Manufacture of builders’ carpentry and joinery n.e.c.
16222,"Manufacture of prefabricated buildings, or elements thereof, predominantly of wood"
16221,"Manufacture of structural wooden goods [intended to be used primarily in the construction industry such as beams, rafters, roof struts, glue-laminated and metal connected, prefabricated wooden roof trusses, doors, windows, shutters and their frames, whether or not containing metal fittings, stairs, railings, wooden beadings and mouldings, shingles and shakes etc.]"
16220,Manufacture of builders’ carpentry and joinery
16219,Manufacture of other plywood products n.e.c.
16213,Manufacture of flush doors and other boards or panels
16212,Manufacture of particle board and fibreboard including densified wood
16211,Manufacture of ply wood and veneer sheets
16210,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board and other panels and board"
16109,Activities related to saw milling and planing of wood n.e.c.
16103,Manufacture of wooden railway sleepers
16102,Manufacture of unassembled wooden flooring including parquet flooring
16101,Sawing and planing of wood
16100,Saw milling and planing of wood
15209,Manufacture of other footwear n.e.c.
15202,Manufacture of footwear made primarily of vulcalized or moulded rubber and plastic.
15201,"Manufacture of leather footwear such as shoes, sandals, chappals, leather-cum-rubber/plastic cloth sandles and chappals"
15200,Manufacture of footwear
15129,Manufacture of other consumer goods of leather and substitutes of leather
15123,Manufacture of saddlery and harness
15122,"Manufacture of purse, ladies’ handbags, artistic leather presented articles and novelties"
15121,"Manufacture of travel goods like suitcase, bags, holdalls etc."
15120,"Manufacture of luggage, handbags and the like, saddlery and harness"
15119,"Other tanning, curing, finishing, embossing etc. of leather"
15116,Embroidering and embossing of leather articles
15115,"Finishing of upper leather, lining leather and garment leather etc."
15114,"Scraping, currying, tanning, bleaching, shearing and plucking and dyeing of fur skins and hides with the hair on"
15113,Tanning and finishing of industrial leather
15112,Tanning and finishing of sole leather
15111,Flaying and curing of raw hides and skins
15110,Tanning and dressing of leather; dressing and dyeing of fur
14309,Manufacture of other knitted and crocheted apparel including hosiery
14301,"Manufacture of knitted or crocheted wearing apparel and other made-up articles directly into shape (pullovers, cardigans, jerseys, waistcoats and similar articles)"
14300,Manufacture of knitted and crocheted apparel
14209,Manufacture of other fur products n.e.c.
14202,Manufacture of fur and skin rugs and other similar articles
14201,Manufacture of wearing apparel and clothing accessories made of fur
14200,Manufacture of articles of fur
14109,Manufacture of wearing apparel n.e.c.
14105,Custom tailoring
14104,Manufacture of wearing apparel made of leather and substitutes of leather
14103,"Manufacture of hats, caps and other clothing accessories such as gloves, belts, ties, cravats, hairnets etc."
14102,Manufacture of rain coats of waterproof textile fabrics or plastic sheetings
14101,Manufacture of all types of textile garments and clothing accessories
14100,"Manufacture of wearing apparel, except fur apparel"
13999,Manufacture of other textiles/textile products n.e.c.
13998,Manufacture of waterproof textile excluding tarpulin
13997,"Manufacture of metallised yarn or gimped yarn, rubber thread or cord covered with textile material, textile yarn or strip impregnated, covered or sheathed with rubber or plastic"
13996,Manufacture of wadding of textile materials and articles of wadding such as sanitary napkins and tampoons
13995,"Manufacture of made-up canvas goods such tents, sails etc."
13994,Manufacture of gas mantles
13993,Manufacture of linolium and similar products
13992,Zari work and other ornamental trimmings
13991,Embroidery work and making of laces and fringes
13990,Manufacture of other textiles n.e.c.
13949,Manufacture of other cordage or rope n.e.c.
13946,"Manufacture of tapes, newar and wicks"
13945,"Manufacture of knotted netting of twine, cordage or rope (other than mosquito net)"
13944,Manufacture of rope and cordage made of synthetic material
13943,Manufacture of cordage or rope made of coir
13942,Manufacture of cordage or rope made of jute
13941,"Manufacture of thread, including thread ball making"
13940,"Manufacture of cordage, rope, twine and netting"
13939,Manufacture of other floor coverings n.e.c.
13935,"Manufacture of carpets, and other floor coverings made of jute, mesta and coir"
13934,Manufacture of carpets made of synthetic materials
13933,Manufacture of carpets and other floor coverings made of silk
13932,Manufacture of carpets and other floor coverings made of wool
13931,Manufacture of carpets and other floor coverings made of cotton
13930,Manufacture of carpets and rugs
13929,"Manufacture of other made-up textile articles, except apparel n.e.c."
13926,Manufacture of blankets
13925,Manufacture of tarpaulin
13924,"Manufacture of bedding, quilts pillows, sleeping bags etc."
13923,Manufacture of mosquito nets
13922,Manufacture of crocheted made up textile goods except apparel
13921,"Manufacture of curtains, bed covers and furnishings"
13920,"Manufacture of made-up textile articles, except apparel"
13919,Manufacture of other knitted and crocheted fabrics
13913,Manufacture of knitted and crocheted synthetic fabrics
13912,Manufacture of knitted and crocheted woolen fabrics
13911,Manufacture of knitted and crocheted cotton fabrics
13910,Manufacture of knitted and crocheted fabrics
13139,Other activities relating to finishing of textile n.e.c.
13136,Activity related to screen printing
13135,"Finishing of jute, mesta and other vegetable textiles fabrics"
13134,Finishing of man-made and blended man-made textiles.
13133,Finishing of wool and blended wool textiles.
13132,Finishing of silk and blended silk textiles.
13131,Finishing of cotton and blended cotton textiles.
13130,Finishing of textiles
13129,"Weaving of jute, mesta and other natural fibers including blended natural fibers n.e.c."
13124,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics."
13123,"Weaving, manufacture of wool and wool mixture fabrics."
13122,"Weaving, manufacture of silk and silk mixture fabrics."
13121,"Weaving, manufacture of cotton and cotton mixture fabrics."
13120,Weaving of textiles
13119,"Preparation and spinning of jute, mesta and other natural fibers includingblended natural fibers n.e.c.*Blended yarn/fabrics means, yarn/fabricscontaining more than 50% of one fiber."
13114,Preparation and spinning of man-made fiber including blended* man-made fiber
13113,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal hair"
13112,Preparation and spinning of silk fiber including blended* silk
13111,Preparation and spinning of cotton fiber including blended* cotton
13110,Preparation and spinning of textile fibres
12009,Manufacture of other tobacco products including chewing tobacco n.e.c.
12008,Manufacture of pan masala and related products.
12007,Manufacture of catechu(katha) and chewing lime
12006,Manufacture of zarda
12005,Manufacture of snuff
12004,Manufacture of cigars and cheroots
12003,"Manufacture of cigarettes, cigarette tobacco"
12002,Manufacture of bidi
12001,Stemming and redrying of tobacco
12000,Manufacture of tobacco products
11049,Manufacture of other non-alcoholic beverages n.e.c.
11045,Manufacture of soft drinks
11044,Manufacture of ice
11043,Manufacture of mineral water
11042,Manufacture of synthetic flavoured concentrates and syrups
11041,Manufacture of aerated drinks
11040,Manufacture of soft drinks; production of mineral waters and other bottled waters
11039,Manufacture of malt liquors and malt n.e.c.
11033,Manufacture of malt
11032,Manufacture of malt liquors other than beer
11031,Manufacture of beer
11030,Manufacture of malt liquors and malt
11020,Manufacture of wines
11019,"Distilling, rectifying and blending of spirits"
11012,Manufacture of country liquor
11011,"Manufacture of distilled, potable, alcoholic beverages such as whisky, brandy, gin, “mixed drinks” etc."
11010,"Distilling, rectifying and blending of spirits; ethyl alcohol production from fermented materials"
10809,Manufacture of other animal feeds n.e.c.
10803,"Manufacture of prepared feeds for pets, including dogs, cats, birds, fish etc."
10802,Manufacture of poultry feed
10801,Manufacture of cattle feed
10800,Manufacture of prepared animal feeds
10799,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods and manufacturing activities like manufacture of egg powder, sambar powder etc. (this excludes the activities covered under 10619)"
10798,"Processing of salt into food-grade salt, e.g. iodized salt"
10797,"Manufacture of vitaminised high protein flour, frying of dal and other cereals"
10796,"Manufacture of papads, appalam and similar food products"
10795,Grinding and processing of spices
10794,Manufacture of malted foods including foods for infants and handicapped
10793,Processing of edible nuts
10792,"Coffee curing, roasting, grinding blending etc. and manufacturing of coffee products"
10791,Processing and blending of tea including manufacture of instant tea
10790,Manufacture of other food products n.e.c.
10750,Manufacture of prepared meals and dishes
10740,"Manufacture  of  macaroni,  noodles,  couscous  and  similar  farinaceous products"
10739,"Manufacture of other cocoa, chocolate, sugar confectionery products n.e.c."
10736,"Preserving in sugar of fruit, nuts, fruit peels and other parts of plants"
10735,Manufacture of chewing gum
10734,Manufacture sweetmeats includind dairy based sweetmeats
10733,Manufacture of sugar confectionery (except sweetmeats)
10732,Manufacture of chocolate and chocolate confectionery
10731,Manufacture of cocoa products
10730,"Manufacture of cocoa, chocolate and sugar confectionery"
10729,"Manufacture of sugar from other sources (juice of palm, suger beet etc.)"
10728,Manufacture of molasses
10727,Manufacture of `boora’ and candy from other than sugarcane
10726,Manufacture of `boora’ and candy from sugarcane
10725,Manufacture of `khandsari’ suger from other than sugarcane
10724,Manufacture of `khandsari’ sugar from sugarcane
10723,Manufacture of `gur’ from other than sugarcane
10722,Manufacture of `gur’ from sugarcane
10721,Manufacture or refining of sugar (sucrose) from sugercane
10720,Manufacture of sugar
10719,Manufacture of other bakery products n.e.c.
10712,"Manufacture of biscuits, cakes, pastries, rusks etc."
